--- TRADE SIMULATION RESULTS (M1 VERIFIED) ---
Period: 2024-01-01 to Present
Initial Equity: $1000.00
Threshold: 95.0%
Risk per trade: 1.0%
-------------------------------------------------------------------------------------
Entry Time                Exit Time                 Type     Status       Equity         
2025-12-12 15:15:00       2025-12-12 15:30:00       SELL     SL           $137096623531889344512.00
2025-12-12 15:45:00       2025-12-12 15:46:00       SELL     TP           $139838556002527133696.00
2025-12-12 16:00:00       2025-12-12 16:33:00       SELL     TP           $142635327122577670144.00
2025-12-12 16:45:00       2025-12-12 17:18:00       SELL     TP           $145488033665029226496.00
2025-12-12 17:30:00       2025-12-12 17:31:00       SELL     TP           $148397794338329821184.00
2025-12-12 18:30:00       2025-12-15 03:03:00       BUY      TP           $151365750225096409088.00
2025-12-15 16:00:00       2025-12-15 18:04:00       SELL     TP           $154393065229598326784.00
2025-12-15 18:15:00       2025-12-15 18:34:00       BUY      SL           $152849134577302339584.00
2025-12-15 19:45:00       2025-12-15 20:34:00       SELL     SL           $151320643231529304064.00
2025-12-16 03:45:00       2025-12-16 04:57:00       SELL     TP           $154347056096159891456.00
2025-12-16 05:45:00       2025-12-16 05:46:00       SELL     TP           $157433997218083078144.00
2025-12-16 06:00:00       2025-12-16 07:30:00       SELL     TP           $160582677162444750848.00
2025-12-16 07:45:00       2025-12-16 08:22:00       SELL     SL           $158976850390820290560.00
2025-12-16 15:45:00       2025-12-16 15:46:00       SELL     TP           $162156387398636699648.00
2025-12-16 16:00:00       2025-12-16 16:01:00       SELL     TP           $165399515146609426432.00
2025-12-16 16:15:00       2025-12-16 16:51:00       SELL     SL           $163745519995143323648.00
2025-12-16 17:00:00       2025-12-16 18:36:00       SELL     TP           $167020430395046199296.00
2025-12-16 19:30:00       2025-12-16 20:47:00       SELL     SL           $165350226091095752704.00
2025-12-17 07:30:00       2025-12-17 07:32:00       SELL     TP           $168657230612917682176.00
2025-12-17 08:00:00       2025-12-17 08:02:00       SELL     TP           $172030375225176031232.00
2025-12-17 08:15:00       2025-12-17 09:19:00       SELL     TP           $175470982729679536128.00
2025-12-17 15:45:00       2025-12-17 15:48:00       SELL     TP           $178980402384273113088.00
2025-12-17 17:00:00       2025-12-17 17:19:00       SELL     TP           $182560010431958581248.00
2025-12-17 20:00:00       2025-12-17 20:41:00       SELL     TP           $186211210640597745664.00
2025-12-18 11:00:00       2025-12-18 14:28:00       SELL     TP           $189935434853409685504.00
2025-12-18 15:00:00       2025-12-18 15:01:00       BUY      TP           $193734143550477893632.00
2025-12-18 15:15:00       2025-12-18 15:30:00       BUY      TP           $197608826421487435776.00
2025-12-18 16:00:00       2025-12-18 16:41:00       SELL     TP           $201561002949917179904.00
2025-12-18 18:00:00       2025-12-18 18:01:00       SELL     TP           $205592223008915521536.00
2025-12-18 18:15:00       2025-12-18 19:06:00       SELL     TP           $209704067469093830656.00
2025-12-18 20:00:00       2025-12-18 20:48:00       SELL     TP           $213898148818475712512.00
2025-12-18 21:15:00       2025-12-18 21:44:00       SELL     TP           $218176111794845220864.00
2025-12-19 15:00:00       2025-12-19 16:38:00       SELL     SL           $215994350676896776192.00
2025-12-19 17:15:00       2025-12-19 17:16:00       BUY      TP           $220314237690434715648.00
2025-12-19 17:30:00       2025-12-19 18:00:00       BUY      TP           $224720522444243402752.00
2025-12-19 18:30:00       2025-12-19 19:09:00       BUY      TP           $229214932893128261632.00
2025-12-23 03:00:00       2025-12-23 03:01:00       SELL     TP           $233799231550990811136.00
2025-12-23 04:00:00       2025-12-23 04:31:00       SELL     SL           $231461239235480911872.00
2025-12-23 04:45:00       2025-12-23 05:18:00       SELL     TP           $236090464020190527488.00
2025-12-23 15:45:00       2025-12-23 16:03:00       BUY      SL           $233729559379988611072.00
2025-12-23 17:00:00       2025-12-23 21:01:00       BUY      TP           $238404150567588397056.00
2025-12-24 03:00:00       2025-12-24 03:23:00       SELL     SL           $236020109061912526848.00
2025-12-24 03:30:00       2025-12-24 04:07:00       SELL     TP           $240740511243150786560.00
2025-12-24 04:15:00       2025-12-24 04:58:00       SELL     TP           $245555321468013805568.00
2025-12-24 16:30:00       2025-12-24 16:50:00       SELL     TP           $250466427897374081024.00
2025-12-24 17:00:00       2025-12-24 17:01:00       SELL     TP           $255475756455321567232.00
2025-12-24 19:00:00       2025-12-26 01:01:00       SELL     SL           $252920998890768367616.00
2025-12-26 01:30:00       2025-12-26 02:01:00       SELL     TP           $257979418868583727104.00
2025-12-26 03:00:00       2025-12-26 14:59:00       SELL     TIMEOUT_SL   $255399624679897890816.00
2025-12-26 16:15:00       2025-12-26 16:16:00       SELL     TP           $260507617173495840768.00
2025-12-26 17:45:00       2025-12-26 17:46:00       SELL     TP           $265717769516965756928.00
2025-12-29 02:15:00       2025-12-29 02:16:00       BUY      TP           $271032124907305074688.00
2025-12-29 02:30:00       2025-12-29 09:00:00       BUY      SL           $268321803658232037376.00
2025-12-29 10:00:00       2025-12-29 10:01:00       SELL     TP           $273688239731396673536.00
2025-12-29 10:15:00       2025-12-29 10:51:00       SELL     TP           $279162004526024622080.00
2025-12-29 12:00:00       2025-12-29 12:30:00       SELL     TP           $284745244616545107968.00
2025-12-29 13:30:00       2025-12-29 15:46:00       SELL     TP           $290440149508876009472.00
